B7 B6 B5 B4 B3 B2 B1 A8 A7 A6 A5 A4 A3 A2 A1
B14 B13 B12 B11 B10 B9 B8 A16 A15 A14 A13 A12 A11 A10 A9
B21 B20 B19 B18 B17 B16 B15 A24 A23 A22 A21 A20 A19 A18 A17
B28 B27 B26 B25 B24 B23 B22 A32 A31 A30 A29 A28 A27 A26 A25
B35 B34 B33 B32 B31 B30 B29 A40 A39 A38 A37 A36 A35 A34 A33
B42 B41 B40 B39 B38 B37 B36 A48 A47 A46 A45 A44 A43 A42 A41
B49 B48 B47 B46 B45 B44 B43 A56 A55 A54 A53 A52 A51 A50 A49
B56 B55 B54 B53 B52 B51 B50 A64 A63 A62 A61 A60 A59 A58 A57
B58 B57 P13 P12 P11 P10 P9 P8 P7 P6 P5 P4 P3 P2 P1
B60 B59 P26 P25 P24 P23 P22 P21 P20 P19 P18 P17 P16 P15 P14
B62 B61 P39 P38 P37 P36 P35 P34 P33 P32 P31 P30 P29 P28 P27
B64 B63 P52 P51 P50 P49 P48 P47 P46 P45 P44 P43 P42 P41 P40
N2 N1 P64 P63 P62 P61 P60 P59 P58 P57 P56 P55 P54 P53 X0
N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3
N32 N31 N30 N29 N28 N27 N26 N25 N24 N23 N22 N21 N20 N19 N18
N47 N46 N45 N44 N43 N42 N41 N40 N39 N38 N37 N36 N35 N34 N33
N62 N61 N60 N59 N58 N57 N56 N55 N54 N53 N52 N51 N50 N49 N48
N64 N63 M12 M11 M10 M9 M8 M7 M6 M5 M4 M3 M2 M1 X0
