D8 D7 D6 D5 D4 D3 D2 D1 C7 C6 C5 C4 C3 C2 C1 B7 B6 B5 B4 B3 B2 B1 A8 A7 A6 A5 A4 A3 A2 A1
D16 D15 D14 D13 D12 D11 D10 D9 C14 C13 C12 C11 C10 C9 C8 B14 B13 B12 B11 B10 B9 B8 A16 A15 A14 A13 A12 A11 A10 A9
D24 D23 D22 D21 D20 D19 D18 D17 C21 C20 C19 C18 C17 C16 C15 B21 B20 B19 B18 B17 B16 B15 A24 A23 A22 A21 A20 A19 A18 A17
D32 D31 D30 D29 D28 D27 D26 D25 C28 C27 C26 C25 C24 C23 C22 B28 B27 B26 B25 B24 B23 B22 A32 A31 A30 A29 A28 A27 A26 A25
D40 D39 D38 D37 D36 D35 D34 D33 C35 C34 C33 C32 C31 C30 C29 B35 B34 B33 B32 B31 B30 B29 A40 A39 A38 A37 A36 A35 A34 A33
D48 D47 D46 D45 D44 D43 D42 D41 C42 C41 C40 C39 C38 C37 C36 B42 B41 B40 B39 B38 B37 B36 A48 A47 A46 A45 A44 A43 A42 A41
D56 D55 D54 D53 D52 D51 D50 D49 C49 C48 C47 C46 C45 C44 C43 B49 B48 B47 B46 B45 B44 B43 A56 A55 A54 A53 A52 A51 A50 A49
D64 D63 D62 D61 D60 D59 D58 D57 C56 C55 C54 C53 C52 C51 C50 B56 B55 B54 B53 B52 B51 B50 A64 A63 A62 A61 A60 A59 A58 A57
E13 E12 E11 E10 E9 E8 E7 E6 E5 E4 E3 E2 E1 C58 C57 B58 B57 P13 P12 P11 P10 P9 P8 P7 P6 P5 P4 P3 P2 P1
E26 E25 E24 E23 E22 E21 E20 E19 E18 E17 E16 E15 E14 C60 C59 B60 B59 P26 P25 P24 P23 P22 P21 P20 P19 P18 P17 P16 P15 P14
E39 E38 E37 E36 E35 E34 E33 E32 E31 E30 E29 E28 E27 C62 C61 B62 B61 P39 P38 P37 P36 P35 P34 P33 P32 P31 P30 P29 P28 P27
E52 E51 E50 E49 E48 E47 E46 E45 E44 E43 E42 E41 E40 C64 C63 B64 B63 P52 P51 P50 P49 P48 P47 P46 P45 P44 P43 P42 P41 P40
X0 E64 E63 E62 E61 E60 E59 E58 E57 E56 E55 E54 E53 F2 F1 N2 N1 P64 P63 P62 P61 P60 P59 P58 P57 P56 P55 P54 P53 X0
F17 F16 F15 F14 F13 F12 F11 F10 F9 F8 F7 F6 F5 F4 F3 N17 N16 N15 N14 N13 N12 N11 N10 N9 N8 N7 N6 N5 N4 N3
F32 F31 F30 F29 F28 F27 F26 F25 F24 F23 F22 F21 F20 F19 F18 N32 N31 N30 N29 N28 N27 N26 N25 N24 N23 N22 N21 N20 N19 N18
F47 F46 F45 F44 F43 F42 F41 F40 F39 F38 F37 F36 F35 F34 F33 N47 N46 N45 N44 N43 N42 N41 N40 N39 N38 N37 N36 N35 N34 N33
F62 F61 F60 F59 F58 F57 F56 F55 F54 F53 F52 F51 F50 F49 F48 N62 N61 N60 N59 N58 N57 N56 N55 N54 N53 N52 N51 N50 N49 N48
X0 G12 G11 G10 G9 G8 G7 G6 G5 G4 G3 G2 G1 F64 F63 N64 N63 M12 M11 M10 M9 M8 M7 M6 M5 M4 M3 M2 M1 X0
G25 G24 G23 G22 G21 G20 G19 G18 G17 G16 G15 G14 G13 J2 J1 K2 K1 M25 M24 M23 M22 M21 M20 M19 M18 M17 M16 M15 M14 M13
G38 G37 G36 G35 G34 G33 G32 G31 G30 G29 G28 G27 G26 J4 J3 K4 K3 M38 M37 M36 M35 M34 M33 M32 M31 M30 M29 M28 M27 M26
G51 G50 G49 G48 G47 G46 G45 G44 G43 G42 G41 G40 G39 J6 J5 K6 K5 M51 M50 M49 M48 M47 M46 M45 M44 M43 M42 M41 M40 M39
G64 G63 G62 G61 G60 G59 G58 G57 G56 G55 G54 G53 G52 J8 J7 K8 K7 M64 M63 M62 M61 M60 M59 M58 M57 M56 M55 M54 M53 M52
H8 H7 H6 H5 H4 H3 H2 H1 J15 J14 J13 J12 J11 J10 J9 K15 K14 K13 K12 K11 K10 K9 L8 L7 L6 L5 L4 L3 L2 L1
H16 H15 H14 H13 H12 H11 H10 H9 J22 J21 J20 J19 J18 J17 J16 K22 K21 K20 K19 K18 K17 K16 L16 L15 L14 L13 L12 L11 L10 L9
H24 H23 H22 H21 H20 H19 H18 H17 J29 J28 J27 J26 J25 J24 J23 K29 K28 K27 K26 K25 K24 K23 L24 L23 L22 L21 L20 L19 L18 L17
H32 H31 H30 H29 H28 H27 H26 H25 J36 J35 J34 J33 J32 J31 J30 K36 K35 K34 K33 K32 K31 K30 L32 L31 L30 L29 L28 L27 L26 L25
H40 H39 H38 H37 H36 H35 H34 H33 J43 J42 J41 J40 J39 J38 J37 K43 K42 K41 K40 K39 K38 K37 L40 L39 L38 L37 L36 L35 L34 L33
H48 H47 H46 H45 H44 H43 H42 H41 J50 J49 J48 J47 J46 J45 J44 K50 K49 K48 K47 K46 K45 K44 L48 L47 L46 L45 L44 L43 L42 L41
H56 H55 H54 H53 H52 H51 H50 H49 J57 J56 J55 J54 J53 J52 J51 K57 K56 K55 K54 K53 K52 K51 L56 L55 L54 L53 L52 L51 L50 L49
H64 H63 H62 H61 H60 H59 H58 H57 J64 J63 J62 J61 J60 J59 J58 K64 K63 K62 K61 K60 K59 K58 L64 L63 L62 L61 L60 L59 L58 L57
