%ASIC_NAME ASIC_Channel Pad_Channel
A1 1 A57
A1 2 A49
A1 3 A41
A1 4 A33
A1 5 A25
A1 6 A17
A1 7 A9
A1 8 A1
A1 9 A58
A1 10 A50
A1 11 A42
A1 12 A34
A1 13 A26
A1 14 A18
A1 15 A10
A1 16 A2
A1 17 A59
A1 18 A51
A1 19 A43
A1 20 A35
A1 21 A27
A1 22 A19
A1 23 A11
A1 24 A3
A1 25 A60
A1 26 A52
A1 27 A44
A1 28 A36
A1 29 A28
A1 30 A20
A1 31 A12
A1 32 A4
A1 33 P14
A1 34 P15
A1 35 P16
A1 36 P17
A1 37 P18
A1 38 P19
A1 39 P20
A1 40 P21
A1 41 P22
A1 42 P23
A1 43 P24
A1 44 P1
A1 45 P2
A1 46 P3
A1 47 P4
A1 48 P5
A1 49 P6
A1 50 P7
A1 51 P8
A1 52 P9
A1 53 P10
A1 54 P11
A1 55 P64
A1 56 P63
A1 57 P52
A1 58 P51
A1 59 P39
A1 60 P38
A1 61 P26
A1 62 P25
A1 63 P13
A1 64 P12
A2 33 A61
A2 34 A53
A2 35 A45
A2 36 A37
A2 37 A29
A2 38 A21
A2 39 A13
A2 40 A5
A2 41 A62
A2 42 A54
A2 43 A46
A2 44 A38
A2 45 A30
A2 46 A22
A2 47 A14
A2 48 A6
A2 49 A63
A2 50 A55
A2 51 A47
A2 52 A39
A2 53 A31
A2 54 A23
A2 55 A15
A2 56 A7
A2 57 A64
A2 58 A56
A2 59 A48
A2 60 A40
A2 61 A32
A2 62 A24
A2 63 A16
A2 64 A8
A2 1 P53
A2 2 P54
A2 3 P55
A2 4 P56
A2 5 P57
A2 6 P58
A2 7 P59
A2 8 P60
A2 9 P61
A2 10 P62
A2 11 P40
A2 12 P41
A2 13 P42
A2 14 P43
A2 15 P44
A2 16 P45
A2 17 P46
A2 18 P47
A2 19 P48
A2 20 P49
A2 21 P50
A2 22 P27
A2 23 P28
A2 24 P29
A2 25 P30
A2 26 P31
A2 27 P32
A2 28 P33
A2 29 P34
A2 30 P35
A2 31 P36
A2 32 P37
A3 1 B50
A3 2 B43
A3 3 B36
A3 4 B29
A3 5 B22
A3 6 B15
A3 7 B8
A3 8 B1
A3 9 B51
A3 10 B44
A3 11 B37
A3 12 B30
A3 13 B23
A3 14 B16
A3 15 B9
A3 16 B2
A3 17 B52
A3 18 B45
A3 19 B38
A3 20 B31
A3 21 B24
A3 22 B17
A3 23 B10
A3 24 B3
A3 25 B53
A3 26 B63
A3 27 B39
A3 28 B46
A3 29 B25
A3 30 B32
A3 31 B11
A3 32 B18
A3 33 N23
A3 34 N24
A3 35 N21
A3 36 N22
A3 37 N19
A3 38 N20
A3 39 N25
A3 40 N18
A3 41 N27
A3 42 N26
A3 43 N29
A3 44 N28
A3 45 N31
A3 46 N30
A3 47 N7
A3 48 N32
A3 49 N5
A3 50 N6
A3 51 N3
A3 52 N4
A3 53 N9
A3 54 N8
A3 55 N11
A3 56 N10
A3 57 N13
A3 58 N12
A3 59 N15
A3 60 N14
A3 61 N17
A3 62 N16
A3 63 N1
A3 64 N2
A4 33 B54
A4 34 B4
A4 35 B40
A4 36 B61
A4 37 B26
A4 38 B47
A4 39 B12
A4 40 B33
A4 41 B55
A4 42 B19
A4 43 B41
A4 44 B5
A4 45 B27
A4 46 B59
A4 47 B13
A4 48 B48
A4 49 B56
A4 50 B34
A4 51 B42
A4 52 B20
A4 53 B28
A4 54 B6
A4 55 B60
A4 56 B57
A4 57 B64
A4 58 B49
A4 59 B14
A4 60 B35
A4 61 B58
A4 62 B21
A4 63 B62
A4 64 B7
A4 1 N64
A4 2 N63
A4 3 N61
A4 4 N62
A4 5 N59
A4 6 N60
A4 7 N57
A4 8 N58
A4 9 N55
A4 10 N56
A4 11 N53
A4 12 N54
A4 13 N49
A4 14 N48
A4 15 N51
A4 16 N50
A4 17 N47
A4 18 N52
A4 19 N45
A4 20 N46
A4 21 N43
A4 22 N44
A4 23 N41
A4 24 N42
A4 25 N33
A4 26 N40
A4 27 N35
A4 28 N34
A4 29 N37
A4 30 N36
A4 31 N39
A4 32 N38
