# File: D:\MYPROJECT\SDHCAL_DAQ\PCB&SCHEMATIC\SDHCALDIF\CAPTURE\XC7A100TFGG484.csv
# Generated on: Wednesday Apr 25 15:37:52 2018

Pin Number, Signal Name, Direction, IO Standard, Drive (mA), Slew Rate, Termination, IOB Delay, Diff Type, Diff Pair, Swap Group
D6,VMGTAVCC,UNUSED,,,,,,,,
D10,VMGTAVCC,UNUSED,,,,,,,,
F7,VMGTAVCC,UNUSED,,,,,,,,
F9,VMGTAVCC,UNUSED,,,,,,,,
E8,VMGTAVCC,UNUSED,,,,,,,,
B5,VMGTAVTT,UNUSED,,,,,,,,
B7,VMGTAVTT,UNUSED,,,,,,,,
B9,VMGTAVTT,UNUSED,,,,,,,,
B11,VMGTAVTT,UNUSED,,,,,,,,
C4,VMGTAVTT,UNUSED,,,,,,,,
C8,VMGTAVTT,UNUSED,,,,,,,,
B8,SFP_RX+,UNUSED,,,,,,,,
D9,GND,UNUSED,,,,,,,,
B10,GND,UNUSED,,,,,,,,
D11,GND,UNUSED,,,,,,,,
F6,SFP_CLK_P,UNUSED,,,,,,,,
E6,SFP_CLK_N,UNUSED,,,,,,,,
A8,SFP_RX-,UNUSED,,,,,,,,
C9,GND,UNUSED,,,,,,,,
A10,GND,UNUSED,,,,,,,,
C11,GND,UNUSED,,,,,,,,
B4,SFP_TX+,UNUSED,,,,,,,,
A4,SFP_TX-,UNUSED,,,,,,,,
A17,VCC3.3VD,UNUSED,,,,,,,,
B14,VCC3.3VD,UNUSED,,,,,,,,
C21,VCC3.3VD,UNUSED,,,,,,,,
D18,VCC3.3VD,UNUSED,,,,,,,,
E15,VCC3.3VD,UNUSED,,,,,,,,
F22,VCC3.3VD,UNUSED,,,,,,,,
F15,REGULARIO_SFP_TX_DISABLE,UNUSED,,,,,,,,
F13,TRIGEXT_E,UNUSED,,,,,,,,
F14,REGULARIO_SFP_SDA,UNUSED,,,,,,,,
F16,CDR_SDA,UNUSED,,,,,,,,
C15,STARTREADOUT2_E,UNUSED,,,,,,,,
E13,DOUT1B_E,UNUSED,,,,,,,,
E14,CHIPSATB_E,UNUSED,,,,,,,,
E16,CDR_SCK,UNUSED,,,,,,,,
D14,TRANSMITON1B_E,UNUSED,,,,,,,,
D15,SR_CK_E,UNUSED,,,,,,,,
B15,SR_RSTB_E,UNUSED,,,,,,,,
B16,ENDREADOUT2_E,UNUSED,,,,,,,,
C13,REGULARIO_SFP_SCL,UNUSED,,,,,,,,
B13,DOUT2B_E,UNUSED,,,,,,,,
A15,STARTREADOUT1_E,UNUSED,,,,,,,,
A16,SR_IN_E,UNUSED,,,,,,,,
A13,STARTACQ_E,UNUSED,,,,,,,,
A14,TRANSMITON2B_E,UNUSED,,,,,,,,
B17,TRIGEXT_D,UNUSED,,,,,,,,
B18,TRANSMITON1B_D,UNUSED,,,,,,,,
