# File: D:\MyProject\SDHCAL_DAQ\PCB&Schematic\SDHCalFEB\Capture\Pad30x30V2.csv
# Generated on: Wednesday Dec 05 09:44:16 2018

Pin Number, Signal Name, Direction, IO Standard, Drive (mA), Slew Rate, Termination, IOB Delay, Diff Type, Diff Pair, Swap Group
S1,GEM_OUT_I<2>,OUTPUT,,,,,,,,
S2,GEM_OUT_I<4>,OUTPUT,,,,,,,,
S3,GEM_SIGNAL_S3,OUTPUT,,,,,,,,
S4,GEM_OUT_I<8>,OUTPUT,,,,,,,,
S5,GEM_OUT_I<10>,OUTPUT,,,,,,,,
S6,GEM_OUT_I<11>,OUTPUT,,,,,,,,
S7,GEM_OUT_I<13>,OUTPUT,,,,,,,,
S8,GEM_OUT_I<14>,OUTPUT,,,,,,,,
T1,GEM_OUT_I<1>,OUTPUT,,,,,,,,
T2,GEM_OUT_I<3>,OUTPUT,,,,,,,,
T3,GEM_OUT_I<5>,OUTPUT,,,,,,,,
T4,GEM_OUT_I<7>,OUTPUT,,,,,,,,
T5,GEM_OUT_I<9>,OUTPUT,,,,,,,,
T6,GEM_OUT_I<12>,OUTPUT,,,,,,,,
T7,GEM_OUT_I<16>,OUTPUT,,,,,,,,
T8,GEM_OUT_I<17>,OUTPUT,,,,,,,,
U1,GEM_OUT_I<24>,OUTPUT,,,,,,,,
U2,GEM_OUT_I<23>,OUTPUT,,,,,,,,
U3,GEM_OUT_I<22>,OUTPUT,,,,,,,,
U4,GEM_OUT_I<21>,OUTPUT,,,,,,,,
U5,GEM_OUT_I<18>,OUTPUT,,,,,,,,
U6,GEM_OUT_I<15>,OUTPUT,,,,,,,,
U7,GEM_OUT_I<19>,OUTPUT,,,,,,,,
U8,GEM_OUT_I<20>,OUTPUT,,,,,,,,
V1,GEM_OUT_I<29>,OUTPUT,,,,,,,,
V2,GEM_OUT_I<28>,OUTPUT,,,,,,,,
V3,GEM_OUT_I<27>,OUTPUT,,,,,,,,
V4,GEM_OUT_I<31>,OUTPUT,,,,,,,,
V5,GEM_OUT_I<25>,OUTPUT,,,,,,,,
V6,GEM_OUT_I<26>,OUTPUT,,,,,,,,
V7,GEM_OUT_I<30>,OUTPUT,,,,,,,,
V8,GEM_OUT_I<32>,OUTPUT,,,,,,,,
W1,GEM_OUT_I<37>,OUTPUT,,,,,,,,
W2,GEM_OUT_I<38>,OUTPUT,,,,,,,,
W3,GEM_OUT_I<39>,OUTPUT,,,,,,,,
W4,GEM_OUT_I<36>,OUTPUT,,,,,,,,
W5,GEM_OUT_I<34>,OUTPUT,,,,,,,,
W6,GEM_OUT_I<40>,OUTPUT,,,,,,,,
W7,GEM_OUT_I<35>,OUTPUT,,,,,,,,
W8,GEM_OUT_I<33>,OUTPUT,,,,,,,,
Y1,GEM_OUT_I<47>,OUTPUT,,,,,,,,
Y2,GEM_OUT_I<48>,OUTPUT,,,,,,,,
Y3,GEM_OUT_I<49>,OUTPUT,,,,,,,,
Y4,GEM_OUT_I<45>,OUTPUT,,,,,,,,
Y5,GEM_OUT_I<42>,OUTPUT,,,,,,,,
Y6,GEM_OUT_I<50>,OUTPUT,,,,,,,,
Y7,GEM_OUT_I<44>,OUTPUT,,,,,,,,
Y8,GEM_OUT_I<41>,OUTPUT,,,,,,,,
Z1,GEM_OUT_I<61>,OUTPUT,,,,,,,,
Z2,GEM_OUT_I<62>,OUTPUT,,,,,,,,
Z3,GEM_OUT_I<63>,OUTPUT,,,,,,,,
Z4,GEM_OUT_I<64>,OUTPUT,,,,,,,,
Z5,GEM_OUT_I<56>,OUTPUT,,,,,,,,
Z6,GEM_OUT_I<53>,OUTPUT,,,,,,,,
Z7,GEM_OUT_I<46>,OUTPUT,,,,,,,,
Z8,GEM_OUT_I<43>,OUTPUT,,,,,,,,
AA1,GEM_OUT_I<60>,OUTPUT,,,,,,,,
AA2,GEM_OUT_I<59>,OUTPUT,,,,,,,,
AA3,GEM_OUT_I<58>,OUTPUT,,,,,,,,
AA4,GEM_OUT_I<57>,OUTPUT,,,,,,,,
AA5,GEM_OUT_I<55>,OUTPUT,,,,,,,,
AA6,GEM_OUT_I<54>,OUTPUT,,,,,,,,
AA7,GEM_OUT_I<52>,OUTPUT,,,,,,,,
AA8,GEM_OUT_I<51>,OUTPUT,,,,,,,,
J1,GEM_OUT_E<2>,OUTPUT,,,,,,,,
J2,GEM_SIGNAL_J2,OUTPUT,,,,,,,,
J3,GEM_OUT_E<6>,OUTPUT,,,,,,,,
J4,GEM_OUT_E<8>,OUTPUT,,,,,,,,
J5,GEM_OUT_E<10>,OUTPUT,,,,,,,,
J6,GEM_OUT_E<11>,OUTPUT,,,,,,,,
J7,GEM_OUT_E<13>,OUTPUT,,,,,,,,
J8,GEM_OUT_E<14>,OUTPUT,,,,,,,,
K1,GEM_OUT_E<1>,OUTPUT,,,,,,,,
K2,GEM_OUT_E<3>,OUTPUT,,,,,,,,
K3,GEM_OUT_E<5>,OUTPUT,,,,,,,,
K4,GEM_OUT_E<7>,OUTPUT,,,,,,,,
K5,GEM_OUT_E<9>,OUTPUT,,,,,,,,
K6,GEM_OUT_E<12>,OUTPUT,,,,,,,,
K7,GEM_OUT_E<16>,OUTPUT,,,,,,,,
