Pin Number, Signal Name
B1,A1
A5,A10
A6,A11
B6,A12
A7,A13
A8,A14
C6,A15
B7,A16
B8,A17
C5,A18
C7,A19
A1,A2
C8,A20
C4,A21
C3,A22
C2,A23
C1,A24
D5,A25
D6,A26
D3,A27
D2,A28
D1,A29
B2,A3
D7,A30
D4,A31
D8,A32
E8,A33
E5,A34
E7,A35
E4,A36
E1,A37
E2,A38
E3,A39
A2,A4
E6,A40
F8,A41
F5,A42
G8,A43
F7,A44
F4,A45
G7,A46
F1,A47
F2,A48
F3,A49
B3,A5
F6,A50
H8,A51
H7,A52
G6,A53
H6,A54
H5,A55
G5,A56
H4,A57
H3,A58
H2,A59
A3,A6
H1,A60
G1,A61
G2,A62
G3,A63
G4,A64
B4,A7
A4,A8
B5,A9
B9,B1
A13,B10
A14,B11
B14,B12
A15,B13
A16,B14
C14,B15
B15,B16
B16,B17
C13,B18
C15,B19
A9,B2
C16,B20
C12,B21
C11,B22
C10,B23
C9,B24
D13,B25
D14,B26
D11,B27
D10,B28
D9,B29
B10,B3
D15,B30
D12,B31
D16,B32
E16,B33
E13,B34
E15,B35
E12,B36
E9,B37
E10,B38
E11,B39
A10,B4
E14,B40
F16,B41
F13,B42
G16,B43
F15,B44
F12,B45
G15,B46
F9,B47
F10,B48
F11,B49
B11,B5
F14,B50
H16,B51
H15,B52
G14,B53
H14,B54
H13,B55
G13,B56
H12,B57
H11,B58
H10,B59
A11,B6
H9,B60
G9,B61
G10,B62
G11,B63
G12,B64
B12,B7
A12,B8
B13,B9
B17,C1
A21,C10
A22,C11
B22,C12
A23,C13
A24,C14
C22,C15
B23,C16
B24,C17
C21,C18
C23,C19
A17,C2
C24,C20
C20,C21
C19,C22
C18,C23
C17,C24
D21,C25
D22,C26
D19,C27
D18,C28
D17,C29
B18,C3
D23,C30
D20,C31
D24,C32
E24,C33
E21,C34
E23,C35
E20,C36
E17,C37
E18,C38
E19,C39
A18,C4
E22,C40
F24,C41
F21,C42
G24,C43
F23,C44
F20,C45
G23,C46
F17,C47
F18,C48
F19,C49
B19,C5
F22,C50
H24,C51
H23,C52
G22,C53
H22,C54
H21,C55
G21,C56
H20,C57
H19,C58
H18,C59
A19,C6
H17,C60
G17,C61
G18,C62
G19,C63
G20,C64
B20,C7
A20,C8
B21,C9
B25,D1
A29,D10
A30,D11
B30,D12
C30,D15
C29,D18
A25,D2
C28,D21
C27,D22
C26,D23
C25,D24
D28,D25
D30,D26
D27,D27
D26,D28
D25,D29
B26,D3
D29,D31
E30,D34
E29,D36
E25,D37
E26,D38
E27,D39
A26,D4
E28,D40
F29,D42
F28,D45
F25,D47
F26,D48
F27,D49
B27,D5
F30,D50
G30,D53
H30,D54
H29,D55
G29,D56
H28,D57
H27,D58
H26,D59
A27,D6
H25,D60
G25,D61
G26,D62
G27,D63
G28,D64
B28,D7
A28,D8
B29,D9
K1,E1
J5,E10
J6,E11
K6,E12
J7,E13
J8,E14
L6,E15
K7,E16
K8,E17
L5,E18
L7,E19
J1,E2
L8,E20
L4,E21
L3,E22
L2,E23
L1,E24
M5,E25
M6,E26
M3,E27
M2,E28
M1,E29
K2,E3
M7,E30
M4,E31
M8,E32
N8,E33
N5,E34
N7,E35
N4,E36
N1,E37
N2,E38
N3,E39
J2,E4
N6,E40
P8,E41
P5,E42
Q8,E43
P7,E44
P4,E45
Q7,E46
P1,E47
P2,E48
P3,E49
K3,E5
P6,E50
R8,E51
R7,E52
Q6,E53
R6,E54
R5,E55
Q5,E56
R4,E57
R3,E58
R2,E59
J3,E6
R1,E60
Q1,E61
Q2,E62
Q3,E63
Q4,E64
K4,E7
J4,E8
K5,E9
K9,F1
J13,F10
J14,F11
K14,F12
J15,F13
J16,F14
L14,F15
K15,F16
K16,F17
L13,F18
L15,F19
J9,F2
L16,F20
L12,F21
L11,F22
L10,F23
L9,F24
M13,F25
M14,F26
M11,F27
M10,F28
M9,F29
