# File: D:\MYPROJECT\SDHCAL_DAQ\PCB&SCHEMATIC\SDHCALDIF\CAPTURE\XC7A100TFGG484.csv
# Generated on: Wednesday Apr 25 15:37:52 2018

Pin Number, Signal Name, Direction, IO Standard, Drive (mA), Slew Rate, Termination, IOB Delay, Diff Type, Diff Pair, Swap Group
F13,TriggerExt_E,UNUSED,,,,,,,,
C15,StartReadout2_E,UNUSED,,,,,,,,
E13,Dout1b_E,UNUSED,,,,,,,,
E14,ChipSatb_E,UNUSED,,,,,,,,
D14,TransmitOn1b_E,UNUSED,,,,,,,,
D15,sr_ck_E,UNUSED,,,,,,,,
B15,sr_rstb_E,UNUSED,,,,,,,,
B16,EndReadout2_E,UNUSED,,,,,,,,
B13,Dout2b_E,UNUSED,,,,,,,,
A15,StartReadout1_E,UNUSED,,,,,,,,
A16,sr_in_E,UNUSED,,,,,,,,
A13,StartAcq_E,UNUSED,,,,,,,,
A14,TransmitOn2b_E,UNUSED,,,,,,,,
B17,TriggerExt_D,UNUSED,,,,,,,,
B18,TransmitOn1b_D,UNUSED,,,,,,,,
D17,EndReadout1_E,UNUSED,,,,,,,,
C18,StartAcq_D,UNUSED,,,,,,,,
C19,rst_n,UNUSED,,,,,,,,
E19,sr_in_D,UNUSED,,,,,,,,
D19,StartReadout1_D,UNUSED,,,,,,,,
F18,Dout2b_D,UNUSED,,,,,,,,
B20,sr_ck_D,UNUSED,,,,,,,,
A20,StartReadout2_D,UNUSED,,,,,,,,
A18,Dout1b_D,UNUSED,,,,,,,,
A19,ChipSatb_D,UNUSED,,,,,,,,
F20,EndReadout1_D,UNUSED,,,,,,,,
D20,sr_rstb_D,UNUSED,,,,,,,,
C20,TransmitOn2b_D,UNUSED,,,,,,,,
C22,pwr_on_a,UNUSED,,,,,,,,
B22,pwr_on_adc,UNUSED,,,,,,,,
B21,pwr_on_dac,UNUSED,,,,,,,,
A21,EndReadout2_D,UNUSED,,,,,,,,
E22,Dout1b_C,UNUSED,,,,,,,,
D22,TriggerExt_C,UNUSED,,,,,,,,
E21,StartAcq_C,UNUSED,,,,,,,,
D21,pwr_on_d,UNUSED,,,,,,,,
G21,StartReadout2_C,UNUSED,,,,,,,,
G22,ChipSatb_C,UNUSED,,,,,,,,
F21,TransmitOn1b_C,UNUSED,,,,,,,,
Y17,ChipSatb_A,UNUSED,,,,,,,,
Y16,TransmitOn2b_A,UNUSED,,,,,,,,
AA16,sr_ck_A,UNUSED,,,,,,,,
AB17,StartReadout2_A,UNUSED,,,,,,,,
AA13,out_trigger1b,UNUSED,,,,,,,,
AA15,EndReadout1_A,UNUSED,,,,,,,,
Y14,out_trigger2b,UNUSED,,,,,,,,
AB11,ADC_CLK,UNUSED,,,,,,,,
AA9,ADC_DATA<3>,UNUSED,,,,,,,,
AB10,ADC_DATA<1>,UNUSED,,,,,,,,
AA10,ADC_DATA<2>,UNUSED,,,,,,,,
AA11,ADC_DATA<0>,UNUSED,,,,,,,,
W10,TP<0>,UNUSED,,,,,,,,
V14,EndReadout2_A,UNUSED,,,,,,,,
V15,sr_in_A,UNUSED,,,,,,,,
T15,sr_rstb_A,UNUSED,,,,,,,,
T16,Dout2b_A,UNUSED,,,,,,,,
U16,StartReadout1_A,UNUSED,,,,,,,,
B1,FD<10>,UNUSED,,,,,,,,
A1,FD<12>,UNUSED,,,,,,,,
